,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
283,466231982.0,4,1,10,0,87,57,56,105,13,6339,1,['TV Girl'],Minor
284,357580552.0,10,90,12,43,64,15,59,175,24,1561,1,['INTERWORLD'],Minor
285,61105704.0,4,0,9,22,70,33,80,120,4,875,2,"['Quevedo', 'Jhayco']",Minor
286,198275403.0,5,0,12,37,48,77,70,139,5,406,2,"['El Chachito', 'Junior H']",Minor
287,168448603.0,6,0,12,12,82,56,59,132,13,340,1,['Jimin'],Minor
288,705469769.0,3,0,17,14,74,17,32,114,15,4188,2,"['The Weeknd', 'Gesaffelstein']",Major
289,34502215.0,5,0,37,36,48,19,54,145,0,105,2,"['RM', 'Colde']",Minor
290,482175240.0,4,0,18,0,69,67,82,110,17,1524,1,['BLACKPINK'],Major
291,304118600.0,16,0,36,17,66,61,89,94,30,2651,2,"['Nengo Flow', 'Bad Bunny']",Major
292,1449799467.0,4,0,33,21,60,17,45,134,6,11087,1,['The Weeknd'],Major
293,173627354.0,4,0,39,0,76,32,62,120,19,373,1,['Jimin'],Major
294,90025258.0,4,0,11,24,68,86,70,123,4,200,2,"['Jasiel Nu��ez', 'Peso P']",Minor
295,652704649.0,4,0,15,35,71,84,77,131,17,3741,2,"['Nicky Youre', 'Dazy']",Major
296,1829992958.0,26,0,36,1,73,6,70,171,21,32502,1,['Eminem'],Major
297,655466831.0,6,0,20,2,76,64,80,130,14,7615,2,"['Eminem', 'Dina Rae']",Minor
298,146409671.0,8,0,9,34,67,53,82,94,34,1208,3,"['Mambo Kingz', 'DJ Luian', 'Anuel Aa']",Major
299,95816024.0,6,0,32,39,57,44,73,89,4,209,2,"['IU', 'Agust D']",Minor
300,117206995.0,20,0,15,4,56,71,65,87,9,1235,1,['Feid'],Minor
301,100409613.0,30,0,15,55,78,79,72,124,3,654,2,"['Arcangel', 'Bizarrap']",Minor
302,80758350.0,32,0,22,51,65,80,71,78,0,1479,1,['Tyler - The Creator'],Major
303,325592432.0,10,0,18,7,79,70,70,120,26,4942,2,"['Ti��sto', 'Tate M']",Major
304,58473276.0,20,0,37,40,80,50,48,96,0,709,1,['Tyler - The Creator'],Minor
305,52722996.0,4,0,12,31,86,22,73,106,0,660,1,['NF'],Major
306,191945597.0,35,0,12,62,46,75,78,170,17,489,1,['Yng Lvcas'],Minor
307,77377503.0,7,47,30,8,76,11,67,134,0,407,2,"['Kanii', 'PR1ISVX']",Minor
308,743693613.0,5,0,11,30,73,90,71,115,8,7461,1,['Harry Styles'],Major
309,267789608.0,3,0,30,45,87,79,74,130,4,993,1,['Mar��lia Mendo'],Major
310,1221813483.0,3,0,10,3,79,63,65,118,5,9161,2,"['Ariana Grande', 'The Weeknd']",Major
311,449701773.0,3,0,12,42,38,22,59,110,12,3282,1,['Zach Bryan'],Major
