antecedents,consequents,lift
frozenset({'Yandel'}),frozenset({'Feid'}),45.38095238095238
frozenset({'Eminem'}),frozenset({'Dr. Dre'}),42.355555555555554
frozenset({'Dr. Dre'}),frozenset({'Eminem'}),42.355555555555554
frozenset({'Kendrick Lamar'}),frozenset({'Baby Keem'}),41.434782608695656
frozenset({'Baby Keem'}),frozenset({'Kendrick Lamar'}),41.434782608695656
frozenset({'Don Toliver'}),frozenset({'Future'}),38.120000000000005
frozenset({'Future'}),frozenset({'Don Toliver'}),38.120000000000005
frozenset({'21 Savage'}),frozenset({'Drake'}),35.82706766917293
frozenset({'Drake'}),frozenset({'21 Savage'}),35.82706766917293
frozenset({'Dua Lipa'}),frozenset({'Calvin Harris'}),35.29629629629629
frozenset({'Calvin Harris'}),frozenset({'Dua Lipa'}),35.29629629629629
frozenset({'Metro Boomin'}),frozenset({'Travis Scott'}),34.035714285714285
frozenset({'Travis Scott'}),frozenset({'Metro Boomin'}),34.035714285714285
frozenset({'Peso Pluma'}),frozenset({'Natanael Cano'}),29.78125
frozenset({'Natanael Cano'}),frozenset({'Peso Pluma'}),29.78125
frozenset({'BTS'}),frozenset({'Jung Kook'}),29.323076923076925
frozenset({'Jung Kook'}),frozenset({'BTS'}),29.323076923076922
frozenset({'Metro Boomin'}),frozenset({'Don Toliver'}),27.228571428571435
frozenset({'Don Toliver'}),frozenset({'Metro Boomin'}),27.22857142857143
frozenset({'Gesaffelstein'}),frozenset({'The Weeknd'}),25.756756756756758
frozenset({'The Weeknd'}),frozenset({'Gesaffelstein'}),25.756756756756758
frozenset({'Junior H'}),frozenset({'Peso Pluma'}),25.526785714285715
frozenset({'Peso Pluma'}),frozenset({'Junior H'}),25.526785714285715
frozenset({'Tainy'}),frozenset({'Bad Bunny'}),23.825000000000003
frozenset({'Bad Bunny'}),frozenset({'Tainy'}),23.825000000000003
frozenset({'21 Savage'}),frozenset({'Travis Scott'}),22.690476190476193
frozenset({'Travis Scott'}),frozenset({'21 Savage'}),22.69047619047619
frozenset({'Mora'}),frozenset({'Feid'}),22.69047619047619
frozenset({'Feid'}),frozenset({'Mora'}),22.69047619047619
frozenset({'Future'}),frozenset({'Metro Boomin'}),20.421428571428574
frozenset({'Metro Boomin'}),frozenset({'Future'}),20.421428571428574
frozenset({'Drake'}),frozenset({'Travis Scott'}),16.719298245614034
frozenset({'Travis Scott'}),frozenset({'Drake'}),16.719298245614034
frozenset({'Bizarrap'}),frozenset({'Rauw Alejandro'}),15.883333333333335
frozenset({'Rauw Alejandro'}),frozenset({'Bizarrap'}),15.883333333333333
frozenset({'The Weeknd'}),frozenset({'Ariana Grande'}),12.878378378378379
frozenset({'Ariana Grande'}),frozenset({'The Weeknd'}),12.878378378378379
frozenset({'Daddy Yankee'}),frozenset({'Bad Bunny'}),11.912500000000001
frozenset({'J Balvin'}),frozenset({'Bad Bunny'}),11.912500000000001
frozenset({'Jhay Cortez'}),frozenset({'Bad Bunny'}),11.912500000000001
frozenset({'Bad Bunny'}),frozenset({'Jhay Cortez'}),11.9125
frozenset({'Bad Bunny'}),frozenset({'J Balvin'}),11.9125
frozenset({'Bad Bunny'}),frozenset({'Daddy Yankee'}),11.9125
frozenset({'Future'}),frozenset({'Drake'}),10.031578947368422
frozenset({'Drake'}),frozenset({'Future'}),10.031578947368422
frozenset({'21 Savage'}),frozenset({'Metro Boomin'}),9.72448979591837
frozenset({'Metro Boomin'}),frozenset({'21 Savage'}),9.72448979591837
frozenset({'Taylor Swift'}),frozenset({'Lana Del Rey'}),8.359649122807017
frozenset({'Lana Del Rey'}),frozenset({'Taylor Swift'}),8.359649122807017
